,OBJECTID,STN_NAME,STN_NO,X,Y,Latitude,Longitude,COLOR,IS_TERMINUS,WEEKDAY_SAT_INC_START_TIME,SUN_INC_START_TIME,INC_END_TIME,WEEKDAY_SAT_DEC_START_TIME,SUN_DEC_START_TIME,DEC_END_TIME,LINE,NUMBER,CONNECTION_ID,NEXT_STATION_NUMBER,PREV_STATION_NUMBER,MAX_CAPACITY,MIN_CAPACITY
162,40,TANAH MERAH MRT STATION,EW04,29,3,1.327187135,103.9463161,GREEN,FALSE,0,0,0,0,0,0,EW,04,40,05,03,1995.2857142857142,21.0
163,107,TANJONG PAGAR MRT STATION,EW15,2,-14,1.276521247,103.8458611,GREEN,FALSE,0,0,0,0,0,0,EW,15,107,16,14,3658.1785714285716,3.2857142857142856
164,64,TECK WHYE LRT STATION,BP04,-23,19,1.376684679,103.7537352,OTHERS,FALSE,0,0,0,0,0,0,BP,04,64,05,03,718.0,0.07142857142857142
165,190,TELOK AYER MRT STATION,DT18,3,-12,1.282289536,103.8482991,BLUE,FALSE,0,0,0,0,0,0,DT,18,190,19,17,1540.142857142857,0.21428571428571427
166,189,TELOK BLANGAH MRT STATION,CC28,-8,-16,1.270753211,103.8097544,YELLOW,FALSE,0,0,0,0,0,0,CC,28,189,29,27,383.5357142857143,1.7857142857142858
167,56,THANGGAM LRT STATION,SW04,10,26,1.397318155,103.8756226,OTHERS,FALSE,0,0,0,0,0,0,SW,04,56,05,03,246.14285714285714,2.4285714285714284
168,135,TIONG BAHRU MRT STATION,EW17,-3,-11,1.286193393,103.827021,GREEN,FALSE,0,0,0,0,0,0,EW,17,135,18,16,2670.3214285714284,5.75
169,174,TOA PAYOH MRT STATION,NS19,3,5,1.332628987,103.8474979,RED,FALSE,0,0,0,0,0,0,NS,19,174,20,18,3633.8928571428573,29.892857142857142
170,74,TONGKANG LRT STATION,SW07,13,24,1.389347953,103.8858287,OTHERS,FALSE,0,0,0,0,0,0,SW,07,74,08,06,317.7142857142857,3.9285714285714284
171,25,TUAS CRESCENT MRT STATION,EW31,-51,1,1.321026553,103.6491245,GREEN,FALSE,0,0,0,0,0,0,EW,31,25,32,30,816.5357142857143,1.6428571428571428
172,22,TUAS LINK MRT STATION,EW33,-54,7,1.340463766,103.6369324,GREEN,TRUE,0,0,0,638,698,2798,EW,33,22,-1,32,485.39285714285717,4.464285714285714
173,27,TUAS WEST ROAD MRT STATION,EW32,-53,4,1.329989089,103.6396662,GREEN,FALSE,0,0,0,0,0,0,EW,32,27,33,31,807.25,3.5357142857142856
174,139,UBI MRT STATION,DT27,17,4,1.329956826,103.8992348,BLUE,FALSE,0,0,0,0,0,0,DT,27,139,28,26,1043.392857142857,5.357142857142857
175,179,UPPER CHANGI MRT STATION,DT34,33,8,1.341737484,103.9614367,B,FALSELUE,0,0,0,0,0,0,DT,34,179,35,33,454.2142857142857,6.142857142857143
176,24,WOODLANDS MRT STATION,NS09,-14,40,1.436875128,103.7864999,RED,FALSE,0,0,0,0,0,0,NS,09,24,10,08,5608.785714285715,112.57142857142857
177,181,WOODLANDS MRT STATION,TE02,-13,39,1.436066981,103.7879451,BROWN,FALSE,0,0,0,0,0,0,TE,02,24,03,01,5608.785714285715,112.57142857142857
178,193,WOODLANDS NORTH MRT STATION,TE01,-14,43,1.4482,103.7851,BROWN,TRUE,672,712,2814,0,0,0,TE,01,193,02,-1,995.6428571428571,2.607142857142857
